date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
09:05:2013,98400.0,1200.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,57060.0,5338.0,7201.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library"
10:05:2013,85200.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,81600.0,1200.0,2400.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,68400.0,6001.0,3601.0,0.0,1198.0,0.0,5,0.0,0.0,28,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Collis Student Center,Collis Student Center,Robinson Hall,Chew & Co. Design,Dartmouth College,Dartmouth College,Dartmouth College"
12:04:2013,73198.0,20402.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College"
12:05:2013,91196.0,14404.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Baker Memorial Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:04:2013,74336.0,2400.0,4797.0,0.0,0.0,0.0,5,0.0,0.0,28,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College"
13:05:2013,69335.0,0.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,97206.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:05:2013,100801.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
15:04:2013,67199.0,0.0,6001.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,56393.0,18007.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Dartmouth College,Berry Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library"
16:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:05:2013,76800.0,1200.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,70798.0,18002.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Baker Memorial Library"
17:05:2013,166800.0,1200.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Baker Memorial Library,Dartmouth College"
18:04:2013,73200.0,8400.0,1200.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Baker Memorial Library,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,19201.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,28,"Dartmouth College,Dartmouth College"
19:04:2013,81599.0,4802.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Baker Memorial Library"
19:05:2013,144509.0,1200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
20:04:2013,94800.0,2399.0,7200.0,0.0,0.0,0.0,5,0.0,0.0,28,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
20:05:2013,10800.0,1200.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library"
21:04:2013,78000.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Dartmouth College,Dartmouth College"
21:05:2013,147600.0,8401.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:04:2013,63600.0,13200.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library"
22:05:2013,15599.0,1200.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library"
