date,home_time,school_time,travel_time,orthers,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names
08:04:2013,73063.0,3600.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
08:05:2013,64147.0,21182.0,0.0,0.0,0.0,0.0,2,0.0,0.0,53,"Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Rockefeller Center,Dartmouth College,Dartmouth College"
09:04:2013,81701.0,11999.0,1201.0,2401.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Dick's House,Dick's House,0,Dartmouth College,Dartmouth College,Rockefeller Center,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Vail,Class of 1953 Commons,Dartmouth College,Dartmouth College"
09:05:2013,35223.0,8399.0,0.0,42000.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,0,Thomas Hall,Dartmouth College,Dartmouth College,Thomas Hall"
10:04:2013,67200.0,6000.0,0.0,0.0,0.0,0.0,2,0.0,0.0,53,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,45603.0,0.0,0.0,39597.0,2400.0,0.0,4,0.0,0.0,53,"Goldstein Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Goldstein Hall,0,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,74402.0,8400.0,2398.0,0.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Remsen Medical Sciences Building,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Remsen Medical Sciences Building,Vail,Life Sciences Greenhouse,Dana Circle Parking Lot,Class of 1978 Life Sciences Center"
11:05:2013,75604.0,0.0,4801.0,0.0,0.0,7199.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall,Maynard Parking Lot,Thomas Hall,Maynard Parking Lot,Thomas Hall,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth College"
12:04:2013,85885.0,1200.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
12:05:2013,97193.0,1199.0,10799.0,0.0,0.0,0.0,-1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Goldstein Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Goldstein Hall,Thomas Hall,Maynard Parking Lot,Byrne II Hall,Dartmouth College,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Kemeny Hall,Maynard Parking Lot,Thomas Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall"
13:04:2013,105598.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:05:2013,52796.0,0.0,8404.0,0.0,1198.0,0.0,0,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Goldstein Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall,0,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall,Maynard Parking Lot,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College"
14:04:2013,65872.0,0.0,0.0,0.0,0.0,2404.0,-1,0.0,0.0,53,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College"
14:05:2013,79202.0,5999.0,0.0,0.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Goldstein Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Thomas Hall,Thomas Hall"
15:04:2013,79201.0,3599.0,0.0,0.0,0.0,1200.0,0,0.0,0.0,53,"Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,62746.0,11999.0,1200.0,2401.0,0.0,8401.0,2,0.0,0.0,53,"Dartmouth College,Dartmouth College,Martha E. Diebold Real Estate,Martha E. Diebold Real Estate,Dartmouth College,0,Thomas Hall,Dartmouth College,Thomas Hall,Thomas Hall,Native American House,Native American House,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall"
16:04:2013,72000.0,13200.0,0.0,0.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Vail,Remsen Medical Sciences Building,Life Sciences Greenhouse,Vail,Dartmouth College,Dartmouth College,Dartmouth College"
16:05:2013,83999.0,2401.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Thomas Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,88800.0,3600.0,0.0,0.0,0.0,0.0,2,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
17:05:2013,84002.0,3598.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Goldstein Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall"
18:04:2013,75606.0,3597.0,1199.0,0.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Vail,Vail,Dartmouth College,Moore Psychology Building,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,75595.0,8402.0,2400.0,1199.0,0.0,0.0,5,0.0,0.0,53,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,0,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,0,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall"
19:04:2013,85767.0,2400.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons"
19:05:2013,68397.0,2401.0,0.0,13204.0,0.0,1200.0,-1,0.0,0.0,53,"Thomas Hall,Thomas Hall,0,Thomas Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall"
20:04:2013,84000.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
20:05:2013,69602.0,16800.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,"Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Rauner Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College"
21:04:2013,99601.0,2399.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
21:05:2013,68399.0,13801.0,598.0,2401.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Maynard Parking Lot,Thomas Hall,Thomas Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Native American House,Native American House,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dick's House,Dick's House,Dick's House,Dick's House,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall"
22:04:2013,62622.0,9596.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Parkhurst Hall,Dartmouth College"
22:05:2013,73311.0,11891.0,0.0,598.0,0.0,0.0,2,0.0,0.0,53,"Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Sudikoff Hall,Sudikoff Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Robinson Hall,Collis Student Center,Collis Student Center,Winfred-Raven House,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Byrne II Hall,0,Sudikoff Hall,Sudikoff Hall,Goldstein Hall,Thomas Hall"
23:04:2013,73651.0,8400.0,0.0,2400.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
23:05:2013,81000.0,1802.0,5400.0,600.0,0.0,0.0,3,0.0,0.0,53,"Thomas Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Maynard Parking Lot,Goldstein Hall,Thomas Hall,Thomas Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Maynard Parking Lot,Maynard Parking Lot,Thomas Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College"
24:04:2013,82910.0,6000.0,0.0,12000.0,0.0,0.0,2,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Kemeny Hall,0,Thomas Hall"
24:05:2013,85200.0,5400.0,600.0,0.0,0.0,0.0,4,0.0,0.0,53,"Dartmouth College,Sanborn House,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Dartmouth College,Native American House,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Thomas Hall"
25:04:2013,72807.0,2401.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Goldstein Hall,Thomas Hall"
25:05:2013,82902.0,599.0,600.0,599.0,0.0,5300.0,5,0.0,0.0,53,"Thomas Hall,Goldstein Hall,0,Maynard Parking Lot,Dartmouth College,Dartmouth College,Nugget Arcade,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Thomas Hall"
26:04:2013,73206.0,9599.0,1200.0,0.0,0.0,0.0,4,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Dana Circle Parking Lot,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sanborn House,Dartmouth College,Dartmouth College"
26:05:2013,76800.0,0.0,1200.0,0.0,0.0,0.0,-1,0.0,0.0,53,"Thomas Hall,Goldstein Hall,Thomas Hall,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Northbound,Byrne II Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Thomas Hall"
