date,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
20:04:2013,160800.0,14400.0,0.0,0.0,3599.0,5,0.0,0.0,54,"Dick's House,Dick's House,Sudikoff Hall,Sudikoff Hall,0"
20:05:2013,67202.0,19201.0,0.0,0.0,0.0,0,0.0,0.0,54,"0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
21:05:2013,148621.0,2399.0,0.0,0.0,0.0,1,0.0,0.0,54,"Sudikoff Hall,0,0"
22:04:2013,80400.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54,"0,0,0,0,0,0,0,0,0"
22:05:2013,2400.0,14400.0,0.0,0.0,0.0,2,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:04:2013,88800.0,0.0,0.0,0.0,0.0,1,0.0,0.0,54,"0,0,0"
23:05:2013,251963.0,9599.0,0.0,0.0,0.0,3,0.0,0.0,54,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0"
24:04:2013,73199.0,10801.0,0.0,0.0,0.0,2,0.0,0.0,54,"0,Berry Hall,Sudikoff Hall,0,0"
25:04:2013,63603.0,20398.0,2399.0,0.0,0.0,3,0.0,0.0,54,"0,Maynard Parking Lot,Maynard Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
26:04:2013,70800.0,16802.0,0.0,0.0,0.0,4,0.0,0.0,54,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Berry Hall,Sudikoff Hall,Dartmouth College"
26:05:2013,242402.0,0.0,1198.0,0.0,0.0,-1,0.0,0.0,54,"0,0,0"
27:03:2013,0.0,55861.0,0.0,0.0,0.0,2,0.0,0.0,54,Sudikoff Hall
27:04:2013,85198.0,19200.0,0.0,0.0,0.0,5,0.0,0.0,54,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,0,0"
28:03:2013,67201.0,9599.0,0.0,0.0,0.0,3,0.0,0.0,54,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,145200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,"0,0"
28:05:2013,1200.0,7200.0,0.0,0.0,0.0,1,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,76800.0,22800.0,0.0,0.0,0.0,4,0.0,0.0,54,"0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:04:2013,97264.0,4736.0,0.0,0.0,0.0,0,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,0,0"
29:05:2013,74399.0,9527.0,0.0,0.0,0.0,2,0.0,0.0,54,"Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
30:03:2013,70800.0,2400.0,0.0,0.0,0.0,5,0.0,0.0,54,"Sudikoff Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0"
30:05:2013,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,54,0
31:03:2013,118800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,"0,0,0"
