date,home_time,orthers,recreational_activities,school_time,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
06:04:2013,68488.0,0.0,8312.0,1200.0,13200.0,0.0,0.0,5,0.0,0.0,47,"Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,French Hall,Channing Cox Parking Lot,Channing Cox Parking Lot,French Hall,French Hall,Judge Hall,French Hall"
06:05:2013,68402.0,0.0,5998.0,3599.0,0.0,0.0,0.0,0,1.0,7800.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Berry Library,French Hall,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Haldeman Center"
07:04:2013,57600.0,0.0,26400.0,21600.0,0.0,0.0,0.0,-1,0.0,0.0,47,"French Hall,Collis Student Center,Collis Student Center,Dartmouth College,Berry Library,French Hall,French Hall,Baker Memorial Library"
07:05:2013,65496.0,4800.0,10727.0,2389.0,1200.0,0.0,0.0,1,0.0,0.0,47,"Kemeny Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,0,0,0,0,Dartmouth College,Dartmouth College,0,0,Starbucks,0,Dartmouth College,French Hall,French Hall,Parker House,Dartmouth College,Dartmouth College"
08:04:2013,43193.0,0.0,9600.0,9608.0,0.0,0.0,0.0,0,0.0,7800.0,47,"Baker Memorial Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,French Hall,French Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Haldeman Center"
08:05:2013,83956.0,0.0,2444.0,0.0,0.0,0.0,0.0,2,1.0,7800.0,47,"Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,French Hall,Judge Hall,Judge Hall,French Hall,French Hall,Dartmouth College"
09:04:2013,69547.0,1145.0,14399.0,1200.0,0.0,0.0,0.0,1,0.0,0.0,47,"0,Haldeman Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Starbucks,0,French Hall,French Hall,Dartmouth College,French Hall,French Hall,Baker Memorial Library,Dartmouth College,Dartmouth College"
09:05:2013,45725.0,3600.0,34656.0,2400.0,0.0,0.0,0.0,3,1.0,7800.0,47,"Haldeman Center,Haldeman Center,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Berry Library,Dartmouth College,French Hall,French Hall"
10:04:2013,81710.0,0.0,2400.0,3598.0,0.0,0.0,0.0,2,1.0,7800.0,47,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,Dartmouth College,Haldeman Center,Haldeman Center"
10:05:2013,76840.0,0.0,7179.0,3600.0,0.0,0.0,0.0,4,1.0,6000.0,47,"Baker Memorial Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,French Hall,French Hall,Judge Hall,Channing Cox Hall,French Hall,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Haldeman Center"
