,tnv,distance,velocity,accelerate,hour in date,min in date,moving,inactive,time_difference
0,1,50.55264272610306,0.0428049472701973,3.624466322624669e-05,11,22,True,1.0,20.0
1,1,50.58008718580464,0.0414590878572169,3.398285889935813e-05,11,42,True,1.0,20.0
2,1,20740.597181994726,17.269439785174626,0.0143792171400288,13,22,True,1.0,20.0
3,1,12115.825687646851,5.05879986958115,0.0021122337660046,14,2,True,1.0,40.0
4,1,8624.832154346273,7.187360128621894,0.0059894667738515,18,22,True,1.0,20.0
5,1,7227.181501054615,6.022651250878846,0.005018876042399,18,42,True,1.0,20.0
6,1,187.62538844711636,0.1563544903725969,0.0001302954086438,19,2,True,1.0,20.0
7,1,221.91363866900917,0.1849280322241742,0.0001541066935201,19,22,True,1.0,20.0
8,1,300.30154124853425,0.2502512843737785,0.0002085427369781,21,2,True,1.0,20.0
9,1,6.49244617351524,0.0054103718112627,4.50864317605225e-06,21,22,False,0.0,20.0
10,1,24.638361961576077,0.0205319683013133,1.710997358442783e-05,21,42,True,1.0,20.0
11,1,10.445574879926744,0.0087046457332722,7.253871444393572e-06,22,2,False,0.0,20.0
12,1,268.4253538321755,0.2373345303555928,0.0002098448544258,22,21,True,1.0,19.0
13,1,799.0000501495512,0.6286389064905988,0.0004946018147054,22,42,True,1.0,21.0
14,1,795.3035652287119,0.6638594033628648,0.0005541397356952,23,2,True,1.0,20.0
15,1,323.7046858890411,0.2697539049075342,0.0002247949207562,1,2,True,1.0,20.0
16,1,9.402373307022796,0.0078353110891856,6.529425907654721e-06,2,2,False,0.0,60.0
17,1,597.856991599569,0.4965589631225656,0.0004124243879755,2,22,True,1.0,20.0
18,1,286.0118483826508,0.2397417002369243,0.0002009569993603,2,42,True,1.0,20.0
19,1,0.9745652038932467,0.0008101123889386,6.734101321186136e-07,3,2,False,0.0,20.0
20,1,26.05244802880671,0.0217103733573389,1.809197779778244e-05,3,22,True,1.0,20.0
21,1,0.4392402362716937,0.0003660335302264,3.050279418553429e-07,4,2,False,0.0,40.0
