date,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
13:04:2013,0.0,9600.0,78000.0,0.0,0.0,5,0.0,0.0,2,"Hopkins Center for the Arts,Kemeny Hall"
13:05:2013,76200.0,2398.0,0.0,0.0,0.0,0,1.0,11700.0,2,"Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College"
14:04:2013,165600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:05:2013,80402.0,5998.0,0.0,0.0,0.0,1,1.0,3900.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Hood Museum of Art,Dartmouth College,Hopkins Center for the Arts"
15:04:2013,6000.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,2,"Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,104400.0,7200.0,0.0,0.0,0.0,2,1.0,11700.0,2,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,91231.0,7200.0,0.0,0.0,0.0,1,1.0,3900.0,2,"Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Dartmouth College"
16:05:2013,61800.0,1200.0,0.0,0.0,0.0,3,1.0,7800.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
17:04:2013,73200.0,0.0,1200.0,0.0,0.0,2,1.0,11700.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,78599.0,3002.0,3600.0,0.0,0.0,4,1.0,9000.0,2,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,81600.0,4800.0,0.0,0.0,0.0,3,1.0,7800.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,93599.0,2400.0,600.0,1801.0,0.0,5,0.0,0.0,2,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College"
19:04:2013,71998.0,25202.0,0.0,0.0,0.0,4,1.0,9000.0,2,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
19:05:2013,69601.0,602.0,0.0,8998.0,0.0,-1,0.0,0.0,2,"Dartmouth College,Dartmouth College,0,0,0,0,0,Jewel of India,0,Dartmouth College,Dartmouth College,Dartmouth College"
20:04:2013,15599.0,29785.0,4802.0,41999.0,0.0,5,0.0,0.0,2,"Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dick's House,Hopkins Center for the Arts,Dick's House,Kemeny Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
20:05:2013,153676.0,1199.0,17324.0,0.0,0.0,0,0.0,11700.0,2,"Dartmouth College,Berry Library,Berry Library,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College"
21:04:2013,56399.0,13200.0,0.0,0.0,0.0,-1,0.0,0.0,2,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
