date,home_time,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
18:04:2013,43200.0,0.0,40801.0,0.0,3,1.0,7800.0,45,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,G Lot Parking,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College,0,0"
18:05:2013,103200.0,0.0,0.0,0.0,5,0.0,0.0,45,"Dartmouth College,0"
19:04:2013,84001.0,4799.0,0.0,0.0,4,1.0,9000.0,45,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0"
19:05:2013,96000.0,0.0,0.0,0.0,-1,0.0,0.0,45,"Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dartmouth College,Dartmouth College"
20:04:2013,84001.0,0.0,0.0,0.0,5,0.0,0.0,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,0"
20:05:2013,62400.0,0.0,0.0,0.0,0,1.0,11700.0,45,"0,0"
21:04:2013,50399.0,37203.0,0.0,0.0,-1,0.0,0.0,45,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,0,0,Dartmouth College,Sudikoff Hall,0"
21:05:2013,84000.0,0.0,0.0,0.0,1,1.0,3900.0,45,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:04:2013,75601.0,13201.0,0.0,0.0,0,0.0,11700.0,45,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,0,0,0,0,0,Dartmouth College,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
22:05:2013,90000.0,0.0,0.0,0.0,2,1.0,11700.0,45,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,82804.0,0.0,0.0,0.0,1,1.0,3900.0,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College"
23:05:2013,82800.0,0.0,0.0,0.0,3,1.0,7800.0,45,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,0,0"
24:04:2013,83501.0,3597.0,0.0,0.0,2,1.0,11700.0,45,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College"
24:05:2013,86400.0,0.0,0.0,0.0,4,1.0,9000.0,45,"0,Dartmouth College,Dartmouth College,Dartmouth College,0,0"
25:04:2013,78003.0,3599.0,2400.0,1700.0,3,1.0,7800.0,45,"0,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Sudikoff Hall,Dartmouth College,Dewey Parking Lot,0,Dartmouth College"
25:05:2013,111600.0,0.0,0.0,0.0,5,0.0,0.0,45,Dartmouth College
26:04:2013,86401.0,1200.0,0.0,0.0,4,1.0,9000.0,45,"Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0,0,0,0,Life Sciences Greenhouse,Dartmouth College"
26:05:2013,61200.0,0.0,0.0,0.0,-1,0.0,0.0,45,"0,0,Dartmouth College,0"
27:04:2013,97573.0,0.0,0.0,0.0,5,0.0,0.0,45,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:05:2013,96002.0,0.0,0.0,0.0,0,1.0,11700.0,45,0
28:04:2013,141599.0,1201.0,0.0,0.0,-1,0.0,0.0,45,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
28:05:2013,239286.0,0.0,0.0,0.0,1,1.0,3900.0,45,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,Dartmouth College"
29:04:2013,19127.0,0.0,0.0,0.0,0,1.0,11700.0,45,"Dartmouth College,Dartmouth College"
30:04:2013,164473.0,1200.0,0.0,0.0,1,1.0,3900.0,45,"Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,0,0"
30:05:2013,67199.0,0.0,0.0,0.0,3,1.0,7800.0,45,"0,Dartmouth College"
31:05:2013,26400.0,0.0,0.0,0.0,4,1.0,9000.0,45,"0,0,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0"
