date,home_time,recreational_activities,school_time,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
11:04:2013,85200.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,78002.0,0.0,0.0,0.0,0.0,1198.0,5,0.0,0.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Chew & Co. Design,Ripley Hall,Dartmouth College"
12:04:2013,94800.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
12:05:2013,91196.0,13204.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,28,"Ripley Hall,Berry Library,Dartmouth College,Berry Library,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Berry Library,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall"
13:04:2013,21601.0,0.0,0.0,0.0,58732.0,0.0,5,0.0,0.0,28,"Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta"
13:05:2013,68135.0,0.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,98406.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
14:05:2013,102001.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Ripley Hall,Dartmouth College,Ripley Hall"
15:04:2013,72000.0,0.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,67193.0,2407.0,4800.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Berry Library,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College"
