date,home_time,school_time,travel_time,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names
26:04:2013,8800.0,75601.0,3199.0,1200.0,0.0,4,0.0,6000.0,18,"Dartmouth College,House Center B,Sudikoff Hall,Dana Circle Parking Lot,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Berry Library,House Center B"
26:05:2013,234600.0,4385.0,0.0,0.0,0.0,-1,0.0,0.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:03:2013,2399.0,7201.0,0.0,3599.0,0.0,2,1.0,14400.0,18,"Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library"
27:04:2013,22966.0,61034.0,0.0,0.0,0.0,5,0.0,0.0,18,"House Center B,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College"
28:03:2013,13198.0,57603.0,0.0,15600.0,0.0,3,0.0,6900.0,18,"Berry Library,Sudikoff Hall,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Berry Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,House Center B,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,5925.0,159675.0,0.0,0.0,0.0,-1,0.0,0.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,House Center B"
28:05:2013,9597.0,10202.0,0.0,0.0,0.0,1,0.0,10500.0,18,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
29:03:2013,5999.0,79202.0,0.0,0.0,0.0,4,0.0,6000.0,18,"Hallgarten Hall,Hallgarten Hall,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,House Center B,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall"
29:04:2013,1200.0,9600.0,0.0,0.0,0.0,0,0.0,7800.0,18,"Dartmouth College,Sudikoff Hall"
29:05:2013,3599.0,76806.0,0.0,0.0,1195.0,2,0.0,14400.0,18,"House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,House Center B,Parker House,Life Sciences Greenhouse"
30:03:2013,167997.0,74401.0,0.0,6000.0,0.0,5,0.0,0.0,18,"Dartmouth College,House Center B,Dartmouth College,Dartmouth College,House Center B,Berry Library,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College"
30:04:2013,0.0,104302.0,0.0,0.0,0.0,1,0.0,10500.0,18,"Sudikoff Hall,House Center B"
30:05:2013,0.0,12000.0,0.0,0.0,0.0,3,0.0,6900.0,18,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B"
