date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
08:05:2013,70800.0,0.0,0.0,1200.0,0.0,0.0,2,1.0,14400.0,11,"Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
09:04:2013,74402.0,4802.0,0.0,5996.0,1200.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,G Lot Parking,Sudikoff Hall"
09:05:2013,74403.0,7197.0,0.0,9601.0,0.0,0.0,3,0.0,6900.0,11,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College"
10:04:2013,80402.0,6000.0,0.0,1198.0,0.0,0.0,2,1.0,14400.0,11,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,79200.0,2399.0,0.0,1200.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Vail,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,80400.0,0.0,0.0,4800.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
11:05:2013,66001.0,12000.0,0.0,15434.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College"
12:04:2013,84000.0,2400.0,0.0,1200.0,0.0,0.0,4,1.0,6000.0,11,"Carpenter Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
12:05:2013,81600.0,4799.0,0.0,13200.0,0.0,0.0,-1,0.0,0.0,11,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College"
13:04:2013,79200.0,0.0,0.0,19200.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
