date,home_time,recreational_activities,school_time,travel_time,working,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
15:04:2013,3600.0,0.0,2400.0,1200.0,0.0,3600.0,0.0,0,1.0,3900.0,34,"Life Sciences Greenhouse,Life Sciences Greenhouse,0,Citizens Bank,Citizens Bank,MacLean Engineering Sciences Center"
16:04:2013,79198.0,19202.0,8401.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,Collis Student Center,Dartmouth College,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Channing Cox Hall"
17:04:2013,44401.0,15600.0,7199.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,MacLean Engineering Sciences Center"
18:04:2013,61200.0,20400.0,3600.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,34,"Dartmouth College,The Irving Institute for Energy & Society,Channing Cox Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,63600.0,18817.0,3983.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,34,"Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Dartmouth College,Channing Cox Hall,MacLean Engineering Sciences Center,MacLean Engineering Sciences Center"
20:04:2013,175200.0,13200.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,34,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
22:04:2013,56401.0,10799.0,2400.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Berry Library,Berry Library,Channing Cox Hall,Channing Cox Hall,Maxwell Hall,Channing Cox Hall,MacLean Engineering Sciences Center"
23:04:2013,86400.0,15600.0,1200.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,34,"MacLean Engineering Sciences Center,Dartmouth College,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
24:04:2013,60001.0,16800.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,34,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
25:04:2013,75600.0,8399.0,4801.0,1199.0,0.0,0.0,0.0,3,1.0,6900.0,34,"0,Robinson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,0,Channing Cox Hall"
26:04:2013,39600.0,10800.0,26400.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,34,"The Irving Institute for Energy & Society,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Life Sciences Greenhouse,MacLean Engineering Sciences Center"
27:04:2013,40804.0,38398.0,6000.0,0.0,0.0,0.0,0.0,5,0.0,0.0,34,"The Irving Institute for Energy & Society,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Hopkins Center for the Arts,Hood Museum of Art,Hopkins Center for the Arts"
28:03:2013,62401.0,0.0,3600.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,34,"Channing Cox Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,65635.0,14855.0,3599.0,1566.0,0.0,0.0,0.0,-1,0.0,0.0,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Hood Museum of Art,0,Hopkins Center for the Arts,Hood Museum of Art,Hood Museum of Art,Class of 1953 Commons,Class of 1953 Commons,Channing Cox Hall,Marshall Parking Lot,Channing Cox Hall"
29:03:2013,48000.0,19196.0,10785.0,1206.0,6012.0,1200.0,1200.0,4,0.0,3000.0,34,"Sigma Alpha Epsilon Fraternity,Wentworth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,South Block Parking Garage,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Chew & Co. Design,Citizens Bank,Hopkins Center for the Arts,MacLean Engineering Sciences Center"
29:04:2013,75600.0,4915.0,7084.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,34,"Wilson Hall,Wilson Hall,0,Wilson Hall,Hopkins Center for the Arts,Channing Cox Hall,MacLean Engineering Sciences Center"
30:03:2013,57598.0,27914.0,6000.0,0.0,0.0,1200.0,0.0,5,0.0,0.0,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Topliff Hall,Topliff Hall,0,Channing Cox Hall,Hopkins Center for the Arts"
30:04:2013,99602.0,7200.0,3599.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,34,"MacLean Engineering Sciences Center,Dartmouth College,Dartmouth College,Collis Student Center,Channing Cox Hall,Hopkins Center for the Arts,Channing Cox Hall"
31:03:2013,80401.0,0.0,0.0,0.0,0.0,2088.0,0.0,-1,0.0,0.0,34,"Irving,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Dartmouth College"
