date,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
23:04:2013,90002.0,0.0,0.0,0.0,0.0,1,0.0,0.0,54,"0,0,0"
23:05:2013,253165.0,7199.0,0.0,0.0,0.0,3,0.0,0.0,54,"0,Sudikoff Hall,0"
24:04:2013,71999.0,12000.0,0.0,0.0,0.0,2,0.0,0.0,54,"Berry Hall,Sudikoff Hall,0"
25:04:2013,62402.0,19200.0,3597.0,0.0,0.0,3,0.0,0.0,54,"Maynard Parking Lot,Maynard Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
26:04:2013,73200.0,14402.0,0.0,0.0,0.0,4,0.0,0.0,54,"Sudikoff Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Hall,Sudikoff Hall,Dartmouth College"
26:05:2013,242400.0,0.0,1198.0,0.0,0.0,-1,0.0,0.0,54,"0,0"
27:04:2013,93598.0,19200.0,0.0,0.0,0.0,5,0.0,0.0,54,"Dartmouth College,Dartmouth College,Sudikoff Hall,0,0,0"
28:03:2013,67201.0,8399.0,0.0,0.0,0.0,3,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,138000.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,0
28:05:2013,0.0,8401.0,0.0,0.0,0.0,1,0.0,0.0,54,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,75600.0,25200.0,1200.0,0.0,0.0,4,0.0,0.0,54,"0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:04:2013,99633.0,4736.0,0.0,0.0,0.0,0,0.0,0.0,54,"Sudikoff Hall,Sudikoff Hall,0,0"
29:05:2013,74399.0,8326.0,0.0,0.0,0.0,2,0.0,0.0,54,"Dartmouth College,Dartmouth College,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
30:03:2013,72000.0,0.0,0.0,0.0,0.0,5,0.0,0.0,54,"0,Dartmouth College,Dartmouth College,Dartmouth College,0"
30:05:2013,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,54,0
31:03:2013,117600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,0
