date,home_time,orthers,school_time,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
06:05:2013,59999.0,0.0,3601.0,11999.0,6001.0,0.0,0.0,0,0.0,0.0,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Bartlett Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,0,0,Bartlett Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,Dartmouth College,Dartmouth College,Dartmouth College"
07:04:2013,21714.0,56400.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,31,"0,0,0,0,0,0,0,0"
07:05:2013,69598.0,1200.0,0.0,1200.0,8401.0,4802.0,0.0,1,0.0,0.0,31,"Dartmouth College,Reed Hall Northbound,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,New Hampshire Hall,Heating & Electric Plant,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College"
08:04:2013,21600.0,40800.0,4800.0,18000.0,0.0,0.0,0.0,0,0.0,0.0,31,"0,0,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,0,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,0,0,New Hampshire Hall,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
08:05:2013,64800.0,0.0,2399.0,9600.0,10800.0,0.0,0.0,2,0.0,0.0,31,"Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
09:04:2013,50017.0,0.0,0.0,37184.0,0.0,0.0,0.0,1,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Dartmouth College,Dartmouth College"
09:05:2013,60004.0,0.0,0.0,24000.0,0.0,1196.0,0.0,3,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,0,New Hampshire Hall,Alpha Xi Delta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,Dartmouth College"
10:04:2013,31160.0,0.0,14932.0,26373.0,14335.0,0.0,0.0,2,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,New Hampshire Hall,Hanover Inn Valet Lot,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,0,Hanover Inn Valet Lot,0,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,34801.0,0.0,14398.0,13201.0,25200.0,0.0,0.0,4,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,New Hampshire Hall,Bartlett Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,Parker House,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,45525.0,2399.0,1275.0,12003.0,13199.0,10798.0,0.0,3,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,New Hampshire Hall,Heating & Electric Plant,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Alpha Phi,Alpha Phi,Dartmouth Row Parking Lot,Phi Delta Alpha,Bones Gate,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hopkins Center for the Arts,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
11:05:2013,23992.0,0.0,0.0,9901.0,150899.0,25208.0,0.0,5,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Alpha Phi,Alpha Phi,Phi Delta Alpha,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,0,Hopkins Center for the Arts"
12:04:2013,51600.0,0.0,0.0,25200.0,10800.0,0.0,0.0,4,0.0,0.0,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Dartmouth College,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
13:04:2013,70800.0,0.0,0.0,13200.0,4800.0,0.0,0.0,5,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall"
13:05:2013,16774.0,0.0,2426.0,30000.0,0.0,0.0,0.0,0,0.0,0.0,31,"New Hampshire Hall,0,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,1200.0,81600.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,31,"0,0,0"
14:05:2013,69600.0,0.0,0.0,15600.0,0.0,0.0,0.0,1,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College"
15:04:2013,46797.0,26400.0,4800.0,6003.0,3600.0,0.0,0.0,0,0.0,0.0,31,"0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,0,Middle Fayerweather Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Dartmouth College,New Hampshire Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,76800.0,0.0,0.0,2400.0,7200.0,0.0,0.0,2,0.0,0.0,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,49200.0,0.0,4800.0,24001.0,6000.0,0.0,1200.0,1,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,New Hampshire Hall,Observatory Road,New Hampshire Hall,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,New Hampshire Hall,0,New Hampshire Hall,0,0,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:05:2013,31200.0,0.0,0.0,40800.0,14400.0,0.0,0.0,3,0.0,0.0,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,New Hampshire Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
17:04:2013,68398.0,0.0,4800.0,7199.0,7202.0,0.0,0.0,2,0.0,0.0,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,0.0,0.0,0.0,0.0,283388.0,0.0,0.0,4,0.0,0.0,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
18:04:2013,43200.0,0.0,0.0,37200.0,2400.0,2400.0,0.0,3,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Dartmouth College,0,0,Dartmouth College,Dartmouth College,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Alpha Phi,Alpha Phi,Dartmouth College,Dartmouth College,0,0,New Hampshire Hall,Hanover Inn Valet Lot,0,0,New Hampshire Hall,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,62400.0,0.0,0.0,16799.0,8401.0,0.0,0.0,4,0.0,0.0,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,New Hampshire Hall,0,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
20:04:2013,46800.0,0.0,33599.0,10803.0,0.0,3598.0,0.0,5,0.0,0.0,31,"Dartmouth College,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,Dartmouth College,0,New Hampshire Hall,Phi Delta Alpha,Phi Delta Alpha,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Reed Hall"
20:05:2013,34801.0,0.0,0.0,26400.0,1200.0,0.0,0.0,0,0.0,0.0,31,"Dartmouth College,Dartmouth College,Hood Museum of Art,0,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College"
21:04:2013,0.0,77312.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,31,"0,0,0"
21:05:2013,74428.0,0.0,3609.0,0.0,0.0,8362.0,0.0,1,0.0,0.0,31,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College"
22:04:2013,45600.0,30689.0,1200.0,7200.0,2399.0,0.0,0.0,0,0.0,0.0,31,"0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,78476.0,0.0,0.0,0.0,1200.0,7313.0,0.0,2,0.0,0.0,31,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Phi Delta Alpha,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,62487.0,0.0,20400.0,1200.0,1200.0,0.0,0.0,1,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall"
23:05:2013,20403.0,2397.0,0.0,57601.0,3600.0,1199.0,1200.0,3,0.0,0.0,31,"Dartmouth College,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,0,Alpha Phi,Ivy Lane,0,Dartmouth Row Parking Lot"
24:04:2013,58799.0,1196.0,3604.0,2401.0,14400.0,15600.0,0.0,2,0.0,0.0,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,The Church of Christ at Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Phi Delta Alpha,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College"
