date,home_time,school_time,travel_time,orthers,recreational_activities,shopping,date_in_week,volunteer,location_names
08:05:2013,82803.0,10200.0,2400.0,0.0,1800.0,0.0,2,44,"Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Parker House,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College"
09:04:2013,80400.0,1200.0,3600.0,0.0,0.0,0.0,1,44,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot"
09:05:2013,117475.0,0.0,0.0,0.0,0.0,0.0,3,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,79199.0,6001.0,0.0,0.0,0.0,0.0,2,44,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Class of 1953 Commons,Dartmouth College"
10:05:2013,41399.0,601.0,0.0,0.0,1199.0,0.0,4,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
11:04:2013,72405.0,4397.0,9598.0,0.0,0.0,0.0,3,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Dartmouth College,Class of 1953 Commons,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,188832.0,6000.0,0.0,0.0,0.0,0.0,5,44,"Sudikoff Hall,Dartmouth College,Dartmouth College"
12:04:2013,79202.0,3602.0,3598.0,0.0,1198.0,0.0,4,44,"Dartmouth College,Dartmouth College,0,Dartmouth College,Class of 1953 Commons,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
13:04:2013,39601.0,45518.0,0.0,0.0,0.0,0.0,5,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:05:2013,68400.0,17404.0,1200.0,0.0,0.0,0.0,0,44,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Class of 1953 Commons,Dartmouth College"
14:04:2013,62399.0,13200.0,0.0,0.0,4801.0,14401.0,-1,44,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,0,0,Hanover Park,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons"
14:05:2013,60001.0,3600.0,0.0,0.0,0.0,0.0,1,44,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
15:04:2013,75534.0,20466.0,0.0,0.0,0.0,0.0,0,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
15:05:2013,85112.0,3600.0,0.0,0.0,0.0,0.0,2,44,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,South Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,63709.0,4691.0,0.0,0.0,0.0,0.0,1,44,"Middle Massachusetts Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons"
16:05:2013,85201.0,600.0,0.0,0.0,0.0,0.0,3,44,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,84000.0,2400.0,0.0,0.0,0.0,0.0,2,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,Dartmouth College,Dartmouth College"
17:05:2013,170869.0,1200.0,0.0,0.0,0.0,0.0,4,44,"Class of 1953 Commons,Dartmouth College"
18:04:2013,78000.0,8400.0,0.0,0.0,0.0,0.0,3,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,82341.0,3600.0,1200.0,0.0,0.0,0.0,4,44,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Mass Parking Lot,Dartmouth College"
19:05:2013,80893.0,5399.0,0.0,0.0,0.0,0.0,-1,44,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
20:04:2013,191591.0,0.0,0.0,0.0,0.0,0.0,5,44,"Dartmouth College,Dartmouth College"
20:05:2013,84007.0,1200.0,600.0,0.0,0.0,0.0,0,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Mass Parking Lot,Dartmouth College,Dartmouth College"
21:05:2013,76800.0,11397.0,0.0,0.0,0.0,0.0,1,44,"Anonymous Hall,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
22:04:2013,59313.0,14400.0,0.0,0.0,0.0,0.0,0,44,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,117023.0,0.0,0.0,0.0,0.0,0.0,2,44,Dartmouth College
23:04:2013,79276.0,21599.0,1200.0,0.0,0.0,0.0,1,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College"
23:05:2013,61895.0,0.0,0.0,0.0,0.0,0.0,3,44,"Dartmouth College,Dartmouth College"
24:04:2013,63227.0,2400.0,0.0,0.0,0.0,0.0,2,44,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:05:2013,77399.0,1200.0,0.0,0.0,0.0,0.0,4,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons"
25:04:2013,85200.0,0.0,0.0,0.0,0.0,0.0,3,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,79282.0,601.0,0.0,0.0,5998.0,0.0,5,44,"Class of 1953 Commons,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
26:04:2013,74413.0,11987.0,0.0,0.0,0.0,0.0,4,44,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Vail,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
26:05:2013,105000.0,0.0,0.0,0.0,0.0,0.0,-1,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:04:2013,201053.0,8400.0,1200.0,0.0,0.0,0.0,5,44,"Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:05:2013,47400.0,25201.0,0.0,0.0,0.0,0.0,0,44,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
28:05:2013,51598.0,30001.0,0.0,0.0,0.0,0.0,1,44,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
29:04:2013,51600.0,0.0,0.0,0.0,0.0,0.0,0,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
29:05:2013,28800.0,57546.0,0.0,600.0,0.0,0.0,2,44,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,X-Delta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall"
30:04:2013,58802.0,26399.0,0.0,0.0,0.0,0.0,1,44,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
30:05:2013,0.0,654.0,0.0,0.0,0.0,0.0,3,44,"Sudikoff Hall,Sudikoff Hall"
