date,home_time,recreational_activities,school_time,shopping,travel_time,working,orthers,date_in_week,volunteer,location_names
08:05:2013,42559.0,9601.0,28907.0,0.0,2993.0,2407.0,0.0,2,58,"Collis Student Center,0,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Phi Tau,Webster Cottage,Dartmouth College,Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Hanover Post Office Northbound,Hanover Post Office Northbound,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Native American House,Native American House,Native American House,Native American House,Native American House,Native American House,Dartmouth College,Native American House,Native American House,Native American House,Dartmouth College,Native American House,Native American House,Native American House,Dartmouth College,Native American House,Native American House,Native American House,Native American House,Native American House,Native American House,Native American House,Native American House,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Native American House,Dartmouth College"
09:04:2013,46800.0,0.0,9548.0,0.0,0.0,0.0,0.0,1,58,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
09:05:2013,32378.0,7916.0,41221.0,0.0,0.0,5388.0,0.0,3,58,"Native American House,Native American House,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Native American House,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Dartmouth College,Native American House,Native American House,Native American House,Native American House,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Dartmouth College,Native American House,Native American House,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Native American House,Native American House,Native American House,Dartmouth College"
10:04:2013,67304.0,2403.0,17945.0,0.0,0.0,0.0,0.0,2,58,"Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
10:05:2013,31414.0,0.0,53739.0,0.0,1192.0,544.0,607.0,4,58,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Sanborn House,0,Phi Tau,Dartmouth College,0,Dartmouth College"
11:04:2013,55373.0,2513.0,25087.0,0.0,0.0,0.0,3431.0,3,58,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Coldwell Banker,Coldwell Banker,Dartmouth College,Collis Student Center,Bartlett Hall,Dartmouth College,Class of 1978 Life Sciences Center"
11:05:2013,68768.0,3600.0,16862.0,0.0,601.0,0.0,0.0,5,58,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Native American House,Native American House,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth College"
12:04:2013,89921.0,2400.0,6000.0,0.0,0.0,0.0,0.0,4,58,"Dartmouth College,Wheeler Hall,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
12:05:2013,59185.0,1799.0,14615.0,0.0,0.0,0.0,6604.0,-1,58,"0,Caring Family Dentistry,Caring Family Dentistry,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Native American House,Native American House,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Native American House,Native American House,Dartmouth College,Dartmouth College,Collis Student Center"
13:04:2013,224799.0,6003.0,2475.0,0.0,0.0,0.0,0.0,5,58,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,Dartmouth College"
