date,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,volunteer,location_names
06:04:2013,72152.0,0.0,7110.0,2400.0,10738.0,0.0,0.0,5,47,"Haldeman Center,Haldeman Center,Sigma Alpha Epsilon Fraternity,New Hampshire Hall,New Hampshire Hall,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:05:2013,43200.0,0.0,4798.0,10817.0,17984.0,0.0,0.0,0,47,"0,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Haldeman Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sudikoff Hall,Haldeman Center"
07:04:2013,73200.0,0.0,0.0,21600.0,10800.0,0.0,0.0,-1,47,"Collis Student Center,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College"
07:05:2013,61872.0,13127.0,1200.0,6013.0,0.0,1200.0,1200.0,1,47,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,Martha E. Diebold Real Estate,New Hampshire Hall,0,0,Hanover Park,0,0,Dartmouth College,Parker House,Sudikoff Hall,New Hampshire Hall"
08:04:2013,39705.0,0.0,2387.0,13116.0,5993.0,0.0,0.0,0,47,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sigma Alpha Epsilon Fraternity,Collis Student Center,Haldeman Center"
08:05:2013,51599.0,0.0,2401.0,3600.0,28800.0,0.0,0.0,2,47,"New Hampshire Hall,0,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sarner Underground,Sarner Underground,Hopkins Center for the Arts,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center"
09:04:2013,67255.0,4745.0,8400.0,5891.0,0.0,0.0,0.0,1,47,"Haldeman Center,Haldeman Center,New Hampshire Hall,Hopkins Center for the Arts,New Hampshire Hall,Alumni Gymnasium,New Hampshire Hall,New Hampshire Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
09:05:2013,73082.0,1200.0,8400.0,3699.0,0.0,0.0,0.0,3,47,"Haldeman Center,Haldeman Center,Dartmouth College,La Casa,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Dartmouth College,Dartmouth College,Sherman House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,49200.0,0.0,1200.0,8503.0,28805.0,0.0,0.0,2,47,"Sudikoff Hall,New Hampshire Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Haldeman Center,Haldeman Center"
10:05:2013,41019.0,0.0,1090.0,5910.0,39600.0,0.0,0.0,4,47,"Dartmouth College,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Dartmouth College,Sigma Alpha Epsilon Fraternity,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center"
11:04:2013,44476.0,0.0,0.0,9604.0,33520.0,0.0,0.0,3,47,"Collis Student Center,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Dartmouth College"
