date,home_time,orthers,recreational_activities,school_time,travel_time,working,shopping,date_in_week,volunteer,location_names
06:04:2013,17862.0,0.0,523.0,77327.0,0.0,192.0,0.0,5,60,"Sudikoff Hall,Robinson Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Baker Memorial Library,Sudikoff Hall,Baker Memorial Library,Sudikoff Hall,Baker Memorial Library,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Berry Library,Sudikoff Hall,Berry Library,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Kappa Pi Kappa,Sudikoff Hall,Rockefeller Center,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Kappa Pi Kappa,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College"
06:05:2013,85595.0,0.0,3501.0,15600.0,0.0,0.0,0.0,0,60,"Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Dartmouth College,Wentworth Hall,Wentworth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
07:04:2013,46487.0,0.0,1200.0,36120.0,0.0,0.0,0.0,-1,60,"Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College"
07:05:2013,33483.0,0.0,0.0,33717.0,0.0,0.0,0.0,1,60,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Wentworth Hall,Dartmouth College,Collis Student Center"
08:04:2013,40723.0,0.0,6001.0,34026.0,0.0,0.0,0.0,0,60,"Sudikoff Hall,Robinson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Wentworth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Robinson Hall,Class of 1953 Commons,Robinson Hall"
08:05:2013,39600.0,1198.0,7199.0,40803.0,0.0,0.0,0.0,2,60,"Collis Student Center,CVS Pharmacy,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Dartmouth College"
09:04:2013,57600.0,0.0,8413.0,41117.0,0.0,0.0,0.0,1,60,"Robinson Hall,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wentworth Hall,Robinson Hall,Robinson Hall,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall"
09:05:2013,61109.0,0.0,14400.0,9598.0,0.0,0.0,0.0,3,60,"Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Berry Library,Berry Library,Dartmouth College"
10:04:2013,55156.0,0.0,0.0,12043.0,0.0,0.0,0.0,2,60,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons"
10:05:2013,60195.0,0.0,0.0,26108.0,600.0,0.0,0.0,4,60,"Dartmouth College,Robinson Hall,Collis Student Center,Collis Student Center,Dartmouth College,Wentworth Hall,0,Dartmouth College,Parkhurst Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,0"
