date,home_time,school_time,orthers,recreational_activities,travel_time,date_in_week,volunteer,location_names
18:04:2013,77999.0,3600.0,0.0,1200.0,2400.0,3,19,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse"
18:05:2013,1201.0,0.0,0.0,0.0,0.0,5,19,Dartmouth College
19:04:2013,99599.0,0.0,4800.0,3601.0,0.0,4,19,"Berry Library,Dartmouth College,Dartmouth College,Berry Sports Center,0,0,Berry Library,Dartmouth College"
19:05:2013,88799.0,0.0,0.0,0.0,0.0,-1,19,"Dartmouth College,Dartmouth College"
20:04:2013,76800.0,0.0,0.0,0.0,0.0,5,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
20:05:2013,79388.0,4800.0,0.0,0.0,0.0,0,19,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
21:04:2013,73199.0,3601.0,0.0,0.0,0.0,-1,19,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
21:05:2013,250799.0,0.0,0.0,0.0,0.0,1,19,"Dartmouth College,Dartmouth College"
22:04:2013,92400.0,10800.0,0.0,0.0,0.0,0,19,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College"
23:04:2013,68400.0,0.0,0.0,0.0,0.0,1,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:05:2013,4800.0,0.0,0.0,7201.0,0.0,3,19,"Dartmouth College,Dartmouth College,Berry Library"
24:04:2013,79201.0,3600.0,0.0,2400.0,0.0,2,19,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College"
24:05:2013,183601.0,0.0,0.0,0.0,1198.0,4,19,"Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Dartmouth College,Dartmouth College"
25:04:2013,71421.0,15600.0,0.0,0.0,0.0,3,19,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
26:04:2013,76800.0,13200.0,0.0,3600.0,0.0,4,19,"Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
26:05:2013,321034.0,0.0,0.0,0.0,0.0,-1,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
