date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,volunteer,location_names
10:04:2013,91196.0,10804.0,1200.0,0.0,0.0,0.0,2,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,15600.0,156691.0,0.0,0.0,0.0,0.0,4,15,"Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,Hood Museum of Art"
11:04:2013,58800.0,7200.0,0.0,0.0,1200.0,0.0,3,15,"Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Rollins Chapel,Wheeler Hall,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,27600.0,0.0,0.0,0.0,0.0,0.0,5,15,Dartmouth College
12:04:2013,92400.0,7200.0,0.0,0.0,0.0,0.0,4,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
12:05:2013,66000.0,0.0,0.0,0.0,0.0,0.0,-1,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College"
13:04:2013,84381.0,0.0,0.0,0.0,0.0,0.0,5,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:05:2013,75600.0,4800.0,0.0,0.0,0.0,0.0,0,15,"Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College"
14:04:2013,85200.0,8400.0,0.0,0.0,1200.0,0.0,-1,15,"Dartmouth College,Dartmouth College,Dartmouth College,Rollins Chapel,Dartmouth College,McCulloch Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
14:05:2013,74011.0,1199.0,0.0,1196.0,9994.0,0.0,1,15,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Dartmouth College,Friends of Dartmouth Rowing Boathouse,Dartmouth College,Zahm Courtyard"
15:04:2013,62401.0,4799.0,0.0,0.0,0.0,0.0,0,15,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,58967.0,21433.0,8400.0,0.0,0.0,0.0,2,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Berry Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wheeler Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
16:04:2013,85002.0,0.0,0.0,1398.0,0.0,0.0,1,15,"Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:05:2013,66744.0,16800.0,0.0,0.0,0.0,0.0,3,15,"Berry Library,Wheeler Hall,Dartmouth College,Berry Library,Wheeler Hall"
17:04:2013,43200.0,13200.0,9600.0,0.0,22800.0,0.0,2,15,"Dartmouth College,Berry Library,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wheeler Hall,Rollins Chapel,Rollins Chapel,Dartmouth College,Rollins Chapel,Rollins Chapel,Dartmouth College,Rollins Chapel,Rollins Chapel,Dartmouth College,Rollins Chapel,Rollins Chapel,Dartmouth College,Rollins Chapel,Dartmouth College,Rollins Chapel,Rollins Chapel,Dartmouth College,Dartmouth College,Berry Library,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Webster Hall"
17:05:2013,286744.0,2400.0,0.0,0.0,0.0,0.0,4,15,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall"
18:04:2013,62400.0,15600.0,6000.0,0.0,0.0,0.0,3,15,"Berry Library,Wheeler Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,79202.0,7200.0,1200.0,0.0,3600.0,0.0,4,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Wheeler Hall,Dartmouth College,Rollins Chapel,Dartmouth College,Dartmouth College,Rollins Chapel,Wheeler Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Berry Library,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
20:04:2013,80399.0,1200.0,1200.0,0.0,7199.0,0.0,5,15,"Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Outing Club House,Dartmouth Outing Club House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College"
20:05:2013,49200.0,0.0,22799.0,0.0,0.0,0.0,0,15,"Sudikoff Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College"
21:04:2013,105600.0,8400.0,0.0,0.0,0.0,0.0,-1,15,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
21:05:2013,68400.0,1201.0,50690.0,0.0,0.0,0.0,1,15,"Dartmouth College,Wheeler Hall,Berry Library,Sudikoff Hall"
22:04:2013,61200.0,0.0,0.0,0.0,7200.0,0.0,0,15,"Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Rollins Chapel,Wheeler Hall,Dartmouth College,Dartmouth College,Rollins Chapel,Dartmouth College,Rollins Chapel,Dartmouth College,Rollins Chapel,Rollins Chapel,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
