date,home_time,recreational_activities,school_time,travel_time,working,orthers,shopping,date_in_week,volunteer,location_names
11:04:2013,56398.0,19200.0,10802.0,0.0,0.0,0.0,0.0,3,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Dartmouth College,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse"
12:04:2013,51600.0,32400.0,3600.0,0.0,0.0,0.0,0.0,4,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center"
13:04:2013,226962.0,10800.0,7200.0,0.0,0.0,0.0,0.0,5,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
15:04:2013,6000.0,0.0,2400.0,1200.0,0.0,3600.0,0.0,0,34,"Channing Cox Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Citizens Bank,Citizens Bank,MacLean Engineering Sciences Center"
16:04:2013,77998.0,19202.0,8401.0,0.0,0.0,0.0,0.0,1,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Collis Student Center,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Channing Cox Hall"
17:04:2013,45601.0,15600.0,5999.0,0.0,0.0,0.0,0.0,2,34,"Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,MacLean Engineering Sciences Center"
18:04:2013,56400.0,20400.0,9600.0,0.0,0.0,0.0,0.0,3,34,"MacLean Engineering Sciences Center,MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,63600.0,18817.0,3983.0,0.0,0.0,0.0,0.0,4,34,"Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Dartmouth College,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center,MacLean Engineering Sciences Center"
20:04:2013,169200.0,13200.0,6000.0,0.0,0.0,0.0,0.0,5,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
22:04:2013,57601.0,10799.0,2400.0,0.0,0.0,0.0,0.0,0,34,"Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,Berry Library,Berry Library,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Dartmouth College,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center"
23:04:2013,79200.0,15600.0,7200.0,0.0,0.0,0.0,0.0,1,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
24:04:2013,60000.0,16800.0,0.0,0.0,0.0,0.0,0.0,2,34,"Channing Cox Hall,Dartmouth College,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
25:04:2013,75601.0,7200.0,6000.0,0.0,0.0,0.0,1199.0,3,34,"Channing Cox Hall,Collis Student Center,Robinson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Hanover Park,Channing Cox Hall"
26:04:2013,40800.0,10800.0,25200.0,0.0,0.0,0.0,0.0,4,34,"Channing Cox Hall,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,Life Sciences Greenhouse,MacLean Engineering Sciences Center"
27:04:2013,40804.0,38398.0,7200.0,0.0,0.0,0.0,0.0,5,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
28:03:2013,62401.0,0.0,20341.0,0.0,0.0,0.0,0.0,3,34,"Sudikoff Hall,Sudikoff Hall,Channing Cox Hall,Channing Cox Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,65635.0,14855.0,3599.0,1566.0,0.0,0.0,0.0,-1,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1953 Commons,Class of 1953 Commons,Channing Cox Hall,Marshall Parking Lot,Channing Cox Hall,Channing Cox Hall"
29:03:2013,48000.0,19196.0,10785.0,1206.0,6012.0,1200.0,1200.0,4,34,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wentworth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,South Block Parking Garage,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Chew & Co. Design,Citizens Bank,Hopkins Center for the Arts,MacLean Engineering Sciences Center"
29:04:2013,75600.0,4915.0,7084.0,0.0,0.0,0.0,0.0,0,34,"Wilson Hall,Wilson Hall,0,Wilson Hall,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center"
30:03:2013,57598.0,27009.0,6000.0,0.0,0.0,0.0,0.0,5,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Topliff Hall,Topliff Hall,Hood Museum of Art,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts"
30:04:2013,94801.0,7200.0,7199.0,0.0,0.0,0.0,0.0,1,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,Dartmouth College,Collis Student Center,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
31:03:2013,79200.0,2105.0,0.0,0.0,0.0,2088.0,0.0,-1,34,"Hopkins Center for the Arts,Irving,Channing Cox Hall,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Dartmouth College"
