date,home_time,orthers,recreational_activities,school_time,working,travel_time,date_in_week,volunteer,location_names
07:05:2013,33605.0,0.0,19201.0,15599.0,15595.0,1200.0,1,15,"Parker House,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Kemeny Hall,Kemeny Hall,Native American House Parking Lot,Sudikoff Hall,Berry Library,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Collis Student Center,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Wheeler Hall"
08:04:2013,10802.0,38400.0,3599.0,4800.0,25200.0,0.0,0,15,"Dartmouth College,Wheeler Hall,Wheeler Hall,Starbucks,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Thel,Wheeler Hall,Thel,Thel,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College"
08:05:2013,44401.0,0.0,39259.0,0.0,4800.0,0.0,2,15,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Richardson Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Baker Memorial Library,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library"
09:04:2013,20399.0,25200.0,4801.0,20399.0,18000.0,0.0,1,15,"Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Collis Student Center,Thel,Thel,Berry Library,Berry Library,Dartmouth College,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity"
09:05:2013,28801.0,1200.0,18000.0,36000.0,0.0,0.0,3,15,"Berry Library,Berry Library,Berry Library,0,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College"
10:04:2013,7196.0,25200.0,10804.0,13200.0,44400.0,0.0,2,15,"Sigma Alpha Epsilon Fraternity,Winfred-Raven House,Winfred-Raven House,Wilder Hall,Sigma Alpha Epsilon Fraternity,The Tabard,The Tabard,Thel,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Richardson Hall,Thel,Thel,Wilder Hall,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sigma Alpha Epsilon Fraternity,Collis Student Center,Sigma Alpha Epsilon Fraternity"
10:05:2013,7200.0,0.0,154291.0,9597.0,1203.0,0.0,4,15,"Carson Hall,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Class of 1953 Commons,Black Family Visual Arts Center,Hopkins Center for the Arts,Hood Museum of Art"
11:04:2013,33600.0,7200.0,9600.0,3600.0,15600.0,0.0,3,15,"Berry Library,Class of 1953 Commons,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wilder Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
11:05:2013,0.0,0.0,0.0,18000.0,0.0,0.0,5,15,Sudikoff Hall
12:04:2013,7200.0,22800.0,25200.0,10800.0,32400.0,0.0,4,15,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library"
